Disease,Description
omphalitis,"Omphalitis, or navel infection, is a type of infection that occurs in the umbilical area. It can be caused by a variety of bacteria, including staphylococcus, streptococcus, and E. coli. Symptoms of omphalitis include"
acute kidney injury,"Acute kidney injury (AKI) is a rapid loss of kidney function that occurs within a few hours or a few days. When kidneys are damaged or injured, they don't filter blood as well as they should. This causes waste products and excess fluid to build up in the body, which can"
chronic kidney disease,"Chronic kidney disease (CKD) is a condition where the kidneys are damaged and cannot filter blood as well as they should. Symptoms of CKD may include fatigue, weakness, shortness of breath, swelling, and urinary problems. Causes of CKD can include diabetes"
fracture of the arm,Fracture of the arm or forearm: A fracture is a break in a bone. Fractures of the arm or forearm are common and can often be treated without surgery. Most fractures are stable and can be treated with a cast or splint. Unstable fractures may require surgery and internal
coagulation (bleeding) disorder,"Coagulation (bleeding) disorder is a medical condition characterized by an increased risk of bleeding and bruising. It is caused by a defect in the body's ability to form blood clots, which are necessary to prevent excessive bleeding. Symptoms of coagulation (bleeding) disorder can include easy"
injury to the leg,"Injury to the leg refers to any damage or harm to the leg caused by accidents, falls, sports activities, or other traumatic events. The severity of the injury can range from minor bruises to major fractures, lacerations, or sprains. Symptoms of such an injury may"
spherocytosis,Spherocytosis is an inherited disease of the red blood cells that is characterized by the presence of abnormal red blood cells that are spherical in shape. This condition is caused by a mutation in a gene that codes for a protein called ankyrin. This protein is responsible for attaching the red
carbon monoxide poisoning,"Carbon monoxide (CO) poisoning occurs when there is too much carbon monoxide in the air. Carbon monoxide is a gas that has no odor or color. It is produced when fuels (such as gasoline, wood, coal, natural gas, propane, oil,"
tension headache,"Tension headaches are a common type of headache that are often caused by stress and muscle tension. Symptoms may include a constant, dull ache on both sides of the head. The pain may be mild to moderate and may last for hours or days. Other symptoms may include soreness in the shoulders and"
pituitary disorder,"A pituitary disorder is a health condition that affects the pituitary gland, a small gland at the base of the brain that regulates many important bodily functions, including growth, metabolism, and reproduction. There are several types of pituitary disorders, including pituitary tumors"
hypercalcemia,"Hypercalcemia is a condition in which the level of calcium in the blood is above the normal range. It can be caused by a variety of factors, including certain cancers, overactive parathyroid glands, and vitamin D intoxication. Symptoms of hypercalce"
celiac disease,"Celiac disease is an autoimmune disorder that affects the digestive system. It is caused by an immune reaction to gluten, a protein found in wheat, barley, and rye. The reaction damages the lining of the small intestine, which can lead to a variety of symptoms such as"
aphakia,"Aphakia is a medical condition where the natural lens of the eye is absent or has been surgically removed. This can occur due to conditions such as cataract surgery or trauma to the eye. Without a natural lens, the eye is unable to focus light properly, resulting in blurred vision."
asperger syndrome,"Asperger syndrome is a form of autism spectrum disorder (ASD) that is characterized by social and communication difficulties, as well as repetitive behaviors and interests. People with Asperger syndrome have average or above-average intelligence and may have difficulty with social interactions and verbal communication. They may have a"
cyst of the eyelid,"Cyst of the eyelid is a small, fluid-filled sac or lump that forms on the eyelid. It is a common condition that can occur in people of any age. The cyst often appears as a small, round, painless bump on the eyelid. It may be white"
rectal disorder,"Rectal disorder is a medical condition that affects the rectum, which is the lower part of the large intestine. It can cause a range of symptoms, including pain, bleeding, and discharge. Rectal disorders can be caused by a variety of factors, including infections, inflammation, and tum"
dumping syndrome,"Dumping syndrome is a condition that occurs after surgery to remove part of the stomach. It occurs when food moves too quickly from the stomach into the small intestine. This causes symptoms such as nausea, vomiting, abdominal pain, and diarrhea. The syndrome can be managed with"
epilepsy,"Epilepsy is a neurological disorder in which bursts of electrical activity in the brain cause recurrent seizures. Seizures are sudden surges of electrical activity in the brain that cause temporary disruptions in normal brain function. Epilepsy can be caused by a variety of factors, including brain"
stomach cancer,"Stomach cancer, also known as gastric cancer, is a type of cancer that starts in the cells of the stomach lining. It is the fifth most common cancer worldwide, with more than 1 million new cases diagnosed each year."
temporomandibular joint disorder,"Temporomandibular joint disorder (TMD) is a term used to describe a variety of conditions affecting the jaw joint and its associated muscles. Symptoms of TMD may include pain in the jaw or face, difficulty opening or closing the mouth, and popping or clicking sounds when opening or closing the"
nonalcoholic liver disease (nash),"Nonalcoholic steatohepatitis (NASH) is a type of nonalcoholic fatty liver disease (NAFLD) characterized by the buildup of fat in the liver, along with inflammation and scarring. It is a more severe form of NAFLD and can lead to"
polycystic ovarian syndrome (pcos),Polycystic ovary syndrome (PCOS) is a hormonal disorder in which a woman's ovaries develop several small collections of fluid (follicles) and fail to regularly release eggs. The lack of regular ovulation may cause problems with your periods and make it difficult to become pregnant.
breast cancer,"Breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast. Breast cancer can occur in both men and women, but it is far more common in women."
fungal infection of the hair,"Tinea capitis is a fungal infection of the hair, scalp and skin. This infection is generally caused by fungus called dermatophytes. This fungus grows in damp and warm areas. It may be spread through sharing of personal belongings like combs, brushes and hair"
idiopathic irregular menstrual cycle,"Menstruation is a monthly cycle that occurs in females of reproductive age. This cycle is controlled by the hormones estrogen and progesterone, which are produced by the ovaries. During a cycle, an egg is released from one of the ovaries and travels through the fallopian"
benign paroxysmal positional vertical (bppv),"Benign paroxysmal positional vertigo (BPPV) is a common condition that causes brief periods of vertigo. Vertigo is the sensation of spinning or whirling, even when you are not moving. BPPV occurs when tiny calcium particles (otoliths) become dislod"
gastritis,"Gastritis is a condition in which the lining of the stomach becomes inflamed or swollen. It can cause a range of symptoms, including abdominal pain, nausea, vomiting, and indigestion. The most common cause of gastritis is infection with a bacterium called Hel"
asthma,"Asthma is a long-term disease that inflames and narrows the airways. This makes breathing difficult and can trigger coughing, wheezing and shortness of breath. For some people, asthma is a minor nuisance. For others, it can be a major problem that inter"
thyroid disease,"A thyroid disease is a condition that affects the thyroid gland, which is a small gland located in the neck. The thyroid gland produces hormones that regulate many of the body's vital functions, including metabolism."
primary immunodeficiency,"Primary immunodeficiency (PID) is a group of rare disorders that affect the immune system. It occurs when the immune system does not function properly, making it difficult for the body to fight infections. PID can be inherited or acquired, and can range from mild to severe."
indigestion,"Indigestion, also known as dyspepsia, is a common condition that affects the digestive system. It can cause symptoms such as heartburn, upset stomach, and bloating. The symptoms of indigestion can vary from person to person and can range from mild to severe. Indigest"
ulcerative colitis,"Ulcerative colitis (UC) is a type of inflammatory bowel disease (IBD) that causes long-lasting inflammation and ulcers (sores) in the digestive tract. The inflammation usually begins in the rectum and lower colon, but it may involve"
hematoma,"A hematoma is a localized collection of blood outside of a blood vessel. It can occur due to trauma, such as a fall or blow to the body, or as a result of medical procedures such as surgery or biopsy. Symptoms of a hematoma can include pain, swelling,"
chronic pancreatitis,"Chronic pancreatitis is a disease of the pancreas that is characterized by inflammation and destruction of the pancreas, leading to impaired digestion and insulin production. It can be caused by a variety of factors, including alcohol abuse, genetic factors, and infections. Sym"
idiopathic absence of menstruation,"Idiopathic absence of menstruation (IAM) is a condition in which a woman does not experience menstruation, despite having normal levels of reproductive hormones. It is also known as primary amenorrhea."
orthostatic hypotension,"Orthostatic hypotension is a condition in which blood pressure drops when you stand up. This can cause dizziness, lightheadedness, and fainting. It is most common in older adults, but can also occur in young people. Orthostatic hypotension is caused by a variety of"
stress incontinence,"Stress incontinence is a relatively common condition where the pelvic floor muscles are weakened, which can cause urine to leak when coughing, sneezing, or exercising. It occurs more frequently in women than men and can be caused by childbirth, aging, menopause, ob"
achalasia,"Achalasia is a disorder that affects the esophagus, the tube that connects the throat to the stomach. It occurs when the muscles in the lower part of the esophagus do not relax properly, which prevents food and liquid from passing into the stomach. As a result, people with a"
osteoarthritis,"Osteoarthritis is a degenerative joint disease that occurs when the cartilage that cushions the joints breaks down. It can affect any joint in the body, but is most common in the hands, knees, hips, and spine. \n \nSymptoms of osteoarth"
fracture of the ankle,A fracture of the ankle is a break or crack in one or more of the bones that make up the ankle joint. This can be a very painful injury that can make it difficult or impossible to walk or bear weight on the affected leg. Causes of an ankle fracture can include a twisting
chronic knee pain,"Chronic knee pain is a type of pain that persists for more than three months and affects the knee joint. It can be caused by various factors such as arthritis, injuries, or overuse of the knee. Symptoms of chronic knee pain may include stiffness, swelling, difficulty walking,"
pulmonary eosinophilia,"Pulmonary eosinophilia is a rare and potentially serious condition that can cause inflammation and tissue damage in the lungs. It is characterized by an abnormal accumulation of eosinophils, a type of white blood cell, in the lungs. Eosinophils are normally present"
infectious gastroenteritis,"Infectious gastroenteritis is a disease of the intestines that is caused by viruses or bacteria. It is marked by nausea, vomiting, diarrhea, and abdominal pain. The virus or bacteria is usually passed from person to person through contaminated food, water"
psychosexual disorder,"A psychosexual disorder is a type of mental health condition that affects a person's sexuality. It can cause distress and difficulty in relationships, and may cause a person to avoid sexual activity altogether. Psychosexual disorders can be caused by a variety of factors, including trauma, stress, and anxiety. Treatment typically involves"
alopecia,"Alopecia areata is a type of hair loss that occurs when the immune system attacks hair follicles, leading to patchy hair loss on the scalp and sometimes other parts of the body. Symptoms include hair loss in patches, hair that falls out easily, and itchy or irritated"
myocarditis,"Myocarditis is the inflammation of the heart muscle (myocardium). The condition is caused by a variety of factors, including viral infections, autoimmune disorders, and toxins. Symptoms can vary depending on the severity of the inflammation, but may include"
corneal disorder,"A corneal disorder is a condition that affects the cornea, which is the transparent layer at the front of the eye. It can cause a variety of symptoms, such as blurred vision, pain, sensitivity to light, and redness. The cornea is responsible for refracting light into the eye,"
hemangioma,Description: A hemangioma is a type of benign tumor that forms due to abnormal blood vessel growth. It is also known as a vascular tumor. Most hemangiomas are red or purple in color and have a rubbery texture. They can range in size from a few millim
cellulitis or abscess of mouth,"Cellulitis or abscess of mouth is a bacterial infection of the soft tissues of the mouth. It can be caused by a variety of bacteria, including streptococcus and staphylococcus. Symptoms can include pain, redness, swelling, and pus formation"
primary thrombocythemia,"Primary thrombocythemia is a blood disorder in which the body produces too many platelets. These cells are responsible for blood clotting, and an excess of them can lead to blood clots and other complications. The cause of primary thrombocythemia is unknown, but it"
urinary tract infection,"Urinary tract infection (UTI) is an infection that occurs in any part of the urinary system. It is a common infection that can affect both men and women, but is more common in women."
otitis externa (swimmer's ear),"Otitis externa, also known as swimmer's ear, is an inflammation of the outer ear canal. It is usually caused by a bacterial or fungal infection and can be accompanied by pain, itching, swelling, and discharge from the ear. Symptoms can include a"
flat feet,"Flat feet, also known as fallen arches, is a condition in which the arch of the foot collapses, resulting in a flattened foot. The arch, which is the curved part of the foot that typically supports the weight of the body, becomes lower or even nonexistent. This can"
alcohol intoxication,"Alcohol intoxication is a condition that occurs when a person consumes alcohol in excess, leading to a dangerously high blood alcohol concentration (BAC). The symptoms of alcohol intoxication can vary depending on the person's level of intoxication, but can include slurred speech, impaired coord"
ear wax impaction,"Ear wax impaction is a condition that occurs when earwax builds up in the ear canal. The buildup can cause a blockage that can lead to hearing loss, tinnitus (ringing in the ears), dizziness, and ear pain."
appendicitis,"Appendicitis is a sudden inflammation of the appendix, a small tube-like organ attached to the large intestine. It is a common condition that requires prompt medical attention to prevent complications and potentially life-threatening situations."
atrophic vaginitis,"Atrophic vaginitis is a condition that involves the thinning, drying, and inflammation of the vaginal walls. This occurs when the vaginal tissues become thinner and less elastic, causing discomfort and irritation. It is most commonly seen in women who have gone through men"
meniere disease,"Meniere's disease is a disorder of the inner ear that can cause a variety of symptoms, including tinnitus (ringing in the ear) and hearing loss. It is caused by an abnormal buildup of fluid in the inner ear, which can affect the balance and hearing centers of the brain."
goiter,"Goiter is an abnormal enlargement of the thyroid gland, which can cause difficulty in swallowing and breathing. The most common cause of goiter is iodine deficiency, which leads to an increase in the size of the thyroid gland. Other causes include autoimmune disorders, genetic"
hirsutism,"Hirsutism is a condition that causes excess hair growth in women, particularly on the face, chest, and back. While all women grow some amount of hair in these regions, women with hirsutism may have dark, coarse hair that can be noticeable."
chronic glaucoma,"Chronic glaucoma is a condition that causes damage to the optic nerve and leads to vision loss. It is a progressive disease that can occur at any age, but it is more common in older adults. The optic nerve is responsible for sending visual information from the eye to the brain. When the opt"
huntington disease,Huntington disease (HD) is an inherited neurodegenerative disorder that causes the progressive breakdown (degeneration) of nerve cells in the brain. It deteriorates a person's physical and mental abilities during their prime working years and has no cure.
fracture of the shoulder,"A fracture of the shoulder is a break in one or more of the bones of the shoulder joint, including the clavicle (collarbone), scapula (shoulder blade), or humerus (upper arm bone). The shoulder joint is a ball-and-socket joint that allows for a wide"
drug abuse (opioids),"Drug abuse that involves opioids is a serious problem that has a negative impact on people's health and well-being. It is characterized by the abuse of opioid drugs, which are substances that act on the body's opioid receptors. These receptors are located in"
migraine,"Migraine is a type of headache disorder characterized by recurrent attacks of moderate to severe headache. The pain is usually throbbing or pulsating, and is often accompanied by symptoms such as nausea, vomiting, and sensitivity to light and sound. Migraines can be triggered by a variety of"
acariasis,"Acariasis is an infestation of the body with mites. Mites are small arthropods that belong to the class Arachnida. They are related to ticks and spiders and have eight legs. Mites can be found in soil, on plants, or in the bodies of"
hydrocele of the testicle,"Hydrocele of the testicle is a condition in which fluid accumulates in the sac surrounding the testicle. It is a common condition that can affect men of all ages. Symptoms of hydrocele of the testicle may include a painless swelling in the scrotum, which can be"
heat exhaustion,Heat exhaustion is a condition that occurs when the body is unable to regulate its temperature due to high temperatures and humidity. It is a potentially life-threatening condition that can lead to heatstroke if left untreated.
cryptorchidism,"Cryptorchidism, also known as undescended testicle or inguinal hernia, is a condition in which one or both testicles fail to descend into the scrotum. It is most common in newborn boys, but it can also occur in older boys and men. The exact cause"
g6pd enzyme deficiency,"Glucose-6-phosphate dehydrogenase (G6PD) deficiency is a genetic disorder that affects the immune system. It is caused by a mutation in the G6PD gene, which is responsible for producing the G6PD enzyme. This enzyme is essential"
intracranial hemorrhage,Intracranial hemorrhage is a medical condition characterized by bleeding within the skull and the brain tissues. It can be a life-threatening condition and can cause severe neurological damage if not treated promptly.
stricture of the esophagus,"Stricture of the esophagus is a narrowing of the esophagus, the tube that carries food and liquids from the mouth to the stomach. This narrowing can interfere with swallowing and can cause food to become stuck in the esophagus."
down syndrome,"Down syndrome (also known as trisomy 21) is a genetic disorder caused by the presence of all or part of a third copy of chromosome 21. It is typically characterized by intellectual disabilities, developmental delays, and physical abnormalities. People with Down syndrome may have a"
diverticulosis,"Diverticulosis is a condition in which small pouches or sacs (diverticula) develop in the wall of the large intestine (colon). These pouches can become inflamed, causing a condition called diverticulitis. Diverticulosis is a common"
glucocorticoid deficiency,"Glucocorticoid deficiency can be a primary disorder of the adrenal glands or due to secondary adrenal insufficiency. The lack of cortisol can be due to an autoimmune disease, where the immune system attacks the adrenal glands and causes them to stop producing"
adrenal cancer,"Adrenal cancer is a rare type of cancer that starts in the adrenal gland. The adrenal gland is a small gland that sits on top of each kidney. It produces hormones that help regulate blood pressure, heart rate, and metabolism."
frostbite,"Frostbite is a type of injury to the body that is caused by freezing. It is most likely to occur on exposed skin, such as the nose, ears, cheeks, fingers, or toes. It can also affect the skin inside the mouth or nose. Frostbite can be very serious and"
poisoning due to antidepressants,"Poisoning due to antidepressants occurs when an individual consumes a toxic amount of the medication. This can be due to accidental or intentional overdose, or may result from a combination of antidepressants with other medications or substances. Symptoms of poisoning may include dizz"
eye alignment disorder,"Eye alignment disorder, also known as strabismus, is a condition where the eyes are not properly aligned with each other. This can cause problems with depth perception, focusing, and overall visual performance. Strabismus can be caused by a variety of factors, including issues with the muscles that control eye movement, nerve"
carpal tunnel syndrome,"Carpal tunnel syndrome causes symptoms of numbness, tingling, and weakness in the hand and fingers. It is caused by compression of the median nerve in the wrist. Symptoms tend to worsen over time if left untreated. Treatment may include rest, splinting, anti-"
skin disorder,"Psoriasis is a chronic skin condition characterized by raised, reddish, scaly patches on the skin. It occurs when the body's immune system mistakenly attacks healthy skin cells, causing them to grow too quickly and accumulate on the skin's surface. The exact cause of psoriasis is"
laryngitis,"Laryngitis is an inflammation of the larynx (voice box) that can cause hoarseness and difficulty speaking. It is often caused by a viral infection, such as the common cold, but can also be triggered by allergies, smoking, or overuse of the voice. Sympt"
intestinal disease,"Inflammation of the intestines, accompanied by pain and fever, is a common condition that can be caused by a variety of factors. Infectious agents, such as viruses, bacteria, or parasites, can cause intestinal disease by invading the intestinal tract and triggering an"
congenital heart defect,"Congenital heart defects are structural abnormalities of the heart that occur during fetal development. These defects can affect the structure and function of the heart and can range from minor to life-threatening. Symptoms of congenital heart defects may include shortness of breath, fat"
drug withdrawal,"Drug withdrawal is a condition that occurs when a person suddenly stops taking a drug that they have been using regularly. The abrupt discontinuation of the drug can cause physical and psychological symptoms, which can range from mild to severe."
endometrial cancer,"Endometrial cancer is a type of cancer that affects the endometrium, which is the lining of the uterus. Symptoms can include abnormal vaginal bleeding, pain during intercourse, and pelvic pain. Causes can include hormonal changes, obesity, and a family"
anemia due to malignancy,"Anemia due to malignancy is a condition resulting from the production of blood cells that are unable to carry oxygen. This type of anemia can be caused by a variety of malignant tumors, such as lymphoma, leukemia, and some solid tumors. Sympt"
acanthosis nigricans,"Acanthosis nigricans is a skin condition that causes areas of dark, thick, and velvety skin in body folds and creases. It can be caused by insulin resistance and other medical conditions. The affected skin is typically found in the armpits, neck, and groin areas"
thrombocytopenia,Thrombocytopenia is a condition in which the concentration of platelets in the blood is below normal. Platelets are small cell fragments in the blood that help form blood clots to stop bleeding.
hypocalcemia,"Hypocalcemia is a condition in which there is less than the normal amount of calcium in the blood. It can be caused by several conditions, including hypoparathyroidism, malabsorption, vitamin D deficiency, acute pancreatitis, and chronic kidney"
oral mucosal lesion,"Oral mucosal lesions are a general term for any abnormal changes or growths that occur in the soft tissues of the mouth, including the tongue, lips, and cheeks. These lesions can be caused by a variety of factors, including infections, inflammation, trauma, or auto"
cardiomyopathy,"Cardiomyopathy can be described as a group of diseases that affect the heart muscle. It is a condition in which the heart muscle becomes weakened, enlarged, or stiff."
erectile dysfunction,"Erectile dysfunction (ED) is a common problem that affects many men at some point in their lives. It is characterized by the inability to get or maintain an erection sufficient for sexual activity. ED can have a significant impact on a man's quality of life, affecting his self-esteem and"
dislocation of the patella,"Dislocation of the patella is a condition in which the patella, or kneecap, is partially or completely displaced from its normal position in the knee joint. It can occur due to a traumatic injury, such as a fall or direct blow to the knee, or through repetitive stress on the"
hormone disorder,"Hormone disorders are a category of diseases that are caused by the body producing too much or too little of certain hormones. These hormones regulate many different functions in the body, including growth, metabolism, and sexual development. Symptoms of hormone disorders can vary widely depending on which hormone"
pilonidal cyst,"Pilonidal cyst is a common condition that affects the skin around the buttocks. It is usually caused by a collection of hair and skin cells, which can become infected and form a cyst."
tuberculosis,"Tuberculosis is a contagious bacterial infection that usually attacks the lungs. It is spread through the air when a person with active tuberculosis coughs, sneezes, or talks. Symptoms include persistent coughing, chest pain, weight loss, and fatigue. Causes include"
priapism,"Priapism is a persistent and painful erection of the penis that lasts for more than four hours. It can be a medical emergency and require immediate medical attention. Priapism can occur in both men and women, but is more common in men. It can also affect children and adolescents."
alcoholic liver disease,"Alcoholic liver disease is a condition caused by excessive consumption of alcohol over a long period of time. It is characterized by inflammation, scarring and damage to the liver. The liver is responsible for breaking down toxins and metabolizing drugs and alcohol in the body. When alcohol is consumed in large"
von willebrand disease,"von Willebrand disease is a bleeding disorder that results from a lack of, or a defect in, a protein known as von Willebrand factor. The disorder impairs the blood’s ability to clot. It is caused by a genetic mutation and is passed down in families. Symptoms of"
mucositis,"Mucositis is the inflammation and ulceration of the mucous membrane. The mucous membrane is the lining of the mouth and gastrointestinal tract. It is a common side effect of cancer treatments, such as chemotherapy and radiation therapy. The treatments can damage"
atrial fibrillation,"Atrial fibrillation is a common type of arrhythmia (irregular heartbeat) that occurs when the upper chambers of the heart (the atria) beat rapidly and irregularly. It is often harmless but can cause symptoms such as palpitations, dizziness, and shortness"
connective tissue disorder,"Cryoglobulinemia is a condition in which abnormal proteins (cryoglobulins) are found in the blood. These proteins can cause blood clots, leading to a variety of symptoms, including joint pain, skin sores, and nerve damage. Cryoglob"
pseudotumor cerebri,"Pseudotumor cerebri, also known as idiopathic intracranial hypertension (IIH), is a condition where there is increased pressure in the brain. This increased pressure can lead to a range of symptoms such as headaches, vision problems, and hearing loss. The cause of"
urge incontinence,"Urge incontinence (overactive bladder) is a condition in which the bladder muscles contract involuntarily, causing urination. Symptoms include frequent and strong urges to urinate, as well as uncontrollable leakage. Causes of urge incontinence include aging"
emphysema,"Emphysema is a chronic disease that involves damage to the air sacs (alveoli) within the lungs. This damage causes the alveoli to lose their elasticity, leading to a decrease in the lungs' ability to expand and contract properly. This results in shortness of breath, coughing"
callus,"Callus is a hardened area of skin that develops when skin is continually rubbed or pressed against something. It usually occurs on the feet, hands, or knees, and is often painful. Symptoms of callus include thickened, rough skin that may be yellowish or white in color. Calluses can"
vacterl syndrome,"VACTERL association is a rare, complex set of birth defects that occur together. The acronym VACTERL stands for Vertebral defects, Anal atresia, Cardiac defects, Tracheoesophageal fistula or esophageal atresia, Ren"
genital herpes,"Genital herpes is a sexually transmitted infection (STI) caused by the herpes simplex virus (HSV). It can be spread through sexual contact, including vaginal, anal, and oral sex. The virus can also be spread through skin-to-skin contact, even if there are no"
poisoning due to gas,"Poisoning due to gas is a condition that occurs when a person inhales or ingests toxic gases or fumes. The symptoms of poisoning can vary depending on the type and amount of gas inhaled or ingested, but can include respiratory distress, nausea, vomiting,"
premature rupture of amniotic membrane,"Premature rupture of amniotic membrane is a rare condition in which the amniotic sac that surrounds the fetus in the uterus breaks open before the onset of labour. It is a potentially serious condition that can lead to complications such as infection, preterm labour, and"
subacute thyroiditis,"Subacute thyroiditis is a self-limiting inflammation of the thyroid gland that does not usually cause complications. It is associated with the presence of antibodies against the thyroid gland. Symptoms of subacute thyroiditis include the presence of a tender, sw"
hypertensive heart disease,"Hypertensive heart disease is a condition in which high blood pressure causes damage to the heart. Over time, uncontrolled high blood pressure can cause the heart muscle to become weak and enlarged. This can lead to heart failure, which occurs when the heart is unable to pump enough blood to the body. Sym"
intussusception,"Intussusception is a condition where one segment of the intestine folds into another, causing a blockage and pain. It is a common cause of intestinal obstruction in infants and young children. The most common symptom is sudden, severe abdominal pain that comes and goes. Other"
chorioretinitis,"Chorioretinitis is an inflammation of the choroid and retina of the eye. The choroid is a layer of blood vessels that supplies oxygen and nutrients to the retina, while the retina is the light-sensitive tissue that lines the back of the eye. In"
magnesium deficiency,"Magnesium deficiency, also known as hypomagnesemia, is a condition that occurs when the body does not have enough magnesium. Magnesium is a mineral that is necessary for many processes in the body. It is involved in muscle and nerve function, blood sugar control, and blood"
lice,"Lice are small parasites that live on the skin and feed on human blood. They can cause itching, irritation, and sores on the skin. Lice are most commonly spread through close contact with an infected person, such as through shared clothing or bedding. Treatment for lice typically involves applying"
lymphedema,"Lymphedema is a progressive condition that damages the lymphatic system and causes swelling, or edema, in one or more parts of the body. The lymphatic system is responsible for transporting excess fluid and waste products from the tissues back into the bloodstream, and it also"
cataract,"Cataract is a clouding of the eye's lens that leads to blurry vision. It is a common condition that affects people as they age, but it can also be caused by injury or certain medical conditions. Symptoms of cataract include blurry vision, difficulty seeing at night, and sensitivity"
oral thrush (yeast infection),"Oral thrush (yeast infection) is a fungal infection that causes inflammation of the mouth and throat. It is caused by the overgrowth of a type of fungus called Candida albicans, which is normally present in small amounts in the mouth and throat. Symptoms of"
hypokalemia,"Hypokalemia is a condition where the level of potassium in the blood is too low. Potassium is an essential mineral that plays a vital role in many bodily functions, including muscle contraction, nerve transmission, and maintaining normal fluid balance."
retinopathy due to high blood pressure,"Retinopathy due to high blood pressure is a disease in which high blood pressure causes damage to the blood vessels of the retina. Symptoms can include blurred vision, difficulty seeing at night, and floaters in the eyes. It is caused by high blood pressure damaging the small blood vessels in the"
aplastic anemia,"Aplastic anemia is a rare blood disorder in which the body does not make enough new blood cells. This can cause symptoms such as fatigue, shortness of breath, and easy bruising or bleeding. The cause of aplastic anemia is not always clear, but it can be caused by"
rhabdomyolysis,"Rhabdomyolysis is a medical condition that occurs when muscle tissue breaks down and leaks into the bloodstream. This can cause symptoms such as muscle pain, weakness, and dark urine. In severe cases, it can lead to kidney damage and other complications. Causes of rhabdomy"
intracerebral hemorrhage,"Intracerebral hemorrhage is a type of stroke that occurs when a blood vessel in the brain ruptures, causing blood to leak into the brain tissue. This can result in brain damage, loss of function, and even death. The most common causes of intracerebral hemorr"
bipolar disorder,"Bipolar disorder, formerly known as manic depression, is a mental illness characterized by extreme mood swings that include emotional highs (mania or hypomania) and lows (depression). The mood swings are often dramatic, rapid, and last for days, weeks, or months at a time."
diabetes,"Diabetes mellitus is a group of metabolic diseases characterized by high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can lead to serious health complications such as heart disease"
uterine fibroids,"Uterine fibroids are benign tumors that grow inside or outside of the wall of the uterus. The tumors are composed of muscle and fibrous tissue and can range in size from a tiny seedling to a grapefruit. Symptoms can include heavy menstrual bleeding, pain"
fracture of the neck,"A fracture of the neck is any break in the bone around the neck of the femur (the ball-shaped top of the thigh bone). This is one of the most serious of hip fractures because there is no soft tissue to help cushion the break, and the blood supply to the bone is cut off"
atrophy of the corpus cavernosum,"Atrophy of the corpus cavernosum is a condition in which the spongy tissue in the penis that becomes rigid during an erection becomes thin and weak. This can lead to difficulty achieving or maintaining an erection, and may also cause pain during intercourse. The cause of atrophy of"
thyroid cancer,"Thyroid cancer is a cancer that forms in the tissues of the thyroid gland, a small butterfly-shaped gland in the front of the neck below Adam's apple. The thyroid gland produces hormones that regulate how the body uses energy, among other things. Thyroid"
pelvic organ prolapse,"Pelvic organ prolapse is a condition in which one or more of the pelvic organs (such as the uterus, bladder, or rectum) move out of their normal position and press against the vaginal wall. This can cause a bulge or pressure in the vag"
valley fever,"Valley fever, also known as coccidioidomycosis, is a fungal infection that affects the lungs. It is caused by breathing in spores from the air. The spores are present in the soil and can be inhaled when the soil is disturbed by activities such as construction, farming"
presbyacusis,"Presbyacusis, also known as age-related hearing loss, is a type of hearing loss that occurs with age. It is due to a combination of factors, including changes in the inner ear, nerve cells, and auditory pathways. The most common symptom of presbyacusis is difficulty"
myopia,"Myopia, also known as nearsightedness, is a common eye condition in which a person can see nearby objects clearly but has difficulty seeing objects that are far away. This is because the shape of the eye causes light to focus in front of the retina, rather than directly on it. Sympt"
endophthalmitis,"Endophthalmitis is an infection of the eye's interior. It can be caused by a variety of bacteria, viruses, and fungi. Symptoms may include redness, pain, and decreased vision. Treatment options may include antibiotics, vitrectomy, and laser surgery."
lymphogranuloma venereum,"Lymphogranuloma venereum (LGV) is a sexually transmitted infection caused by the LGV bacteria. It is a type of chlamydia that can be transmitted through unprotected oral, anal, or vaginal sex. LGV is more common in men"
hyperemesis gravidarum,"Hyperemesis gravidarum (HG) is a severe form of morning sickness that occurs during pregnancy. It is characterized by excessive nausea and vomiting, which can lead to dehydration, weight loss, and electrolyte imbalances. Symptoms of HG can"
dry eye of unknown cause,"Dry eye of unknown cause is a condition in which the eyes do not produce enough tears to keep the eyes moist and lubricated. The cause of this condition is unknown, but it may be due to a problem with the tear glands or a problem with the nerves that control the tear glands."
rheumatic fever,"Rheumatic fever is a complication of strep throat that causes inflammation in the heart, joints, skin, and brain. It is usually caused by a different type of strep bacteria than the one that causes strep throat. The body's immune system responds to the strep bacteria"
endocarditis,"Endocarditis is an infection of the endocardium, the inner lining of the heart. It is typically caused by bacteria or fungi that enter the bloodstream and attach to damaged areas of the heart lining. Symptoms may include fever, fatigue, joint pain, and shortness of"
insulin overdose,"Insulin overdose occurs when a person takes too much insulin, either accidentally or intentionally. Insulin is used to treat diabetes by regulating blood sugar levels. An overdose can cause low blood sugar levels, leading to symptoms such as dizziness, confusion, fatigue, and seizures."
dental caries,"Dental caries, also known as tooth decay or cavities, is a disease that occurs when bacteria in the mouth produce acid that erodes the tooth enamel. This acid attack causes holes in the teeth, known as cavities. Caries can affect both the hard outer layer of the tooth (enam"
